id,song_name,artist_name,danceability,energy,valence,tempo,loudness
34xTFwjPQ1dC6uJmleno7x,Godspeed,Frank Ocean,0.399,0.0969,0.0758,109.54,-12.578
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,0.436,0.655,0.412,121.002,-8.37
2UJsKjM595pEyWUcd8JEIR,"Fight For You - From the Original Motion Picture ""Judas and the Black Messiah""",H.E.R.,0.695,0.689,0.392,95.013,-8.176
0KS2h61pHQ4WmOwruD7uxD,Damage,H.E.R.,0.646,0.696,0.18,81.336,-6.505
2I88NEWpKrAPZuapXNV5G6,Belong to You (feat. 6LACK),Sabrina Claudio,0.605,0.553,0.62,152.076,-10.845
2UWnZrXLXIyfMgNvJr2KUa,By Any Means,Jorja Smith,0.75,0.418,0.442,104.981,-10.412
3Ey11v2aiX14s4wBaYbhlp,Don't Waste My Time (feat. Ella Mai),USHER,0.701,0.778,0.609,99.956,-5.076
38bzNP9KHaTeaG4EwdOLf9,Mistake,Jaz Karis,0.545,0.327,0.38,94.272,-9.826
3f50PY0yOtMHo9BgCX9WRJ,I Wish I Missed My Ex,Mahalia,0.669,0.669,0.546,95.023,-4.185
60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,0.749,0.463,0.189,90.035,-8.433
7Bar1kLTmsRmH6FCKKMEyU,Hit Different,SZA,0.679,0.516,0.716,120.074,-6.371
0uDdI4fAXCuNhQbmxENdsO,Can I,Kehlani,0.574,0.791,0.612,119.537,-3.752
0iDuW211AjTsYDPsLxyqX4,F.U.C.K.,Victoria Monét,0.761,0.397,0.464,127.971,-9.48
3MEruRteiUZXkStfTlZqRn,Back to the Streets (feat. Jhené Aiko),Saweetie,0.865,0.792,0.562,101.985,-4.207
3f3cliOygeuUpGRwdohy12,Comfortable,H.E.R.,0.429,0.4,0.357,72.487,-11.679
5kAm2Y5ygQtsVfE5dQQfGy,Touch Me (feat. Kehlani) - Remix,Victoria Monét,0.42,0.578,0.528,136.642,-8.87
6qBFSepqLCuh5tehehc1bd,Like I Want You,Giveon,0.678,0.355,0.438,119.772,-7.757
4L7jMAP8UcIe309yQmkdcO,Lost,Frank Ocean,0.913,0.603,0.497,123.061,-4.892
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,Kendrick Lamar,0.8,0.585,0.779,126.058,-7.343
0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,SZA,0.775,0.573,0.667,101.925,-4.933
5fdNHVZHbWB1AaXk4RBGVD,Just the Two of Us,"Grover Washington, Jr.",0.743,0.429,0.597,95.406,-14.576
0wXuerDYiBnERgIpbb3JBR,Redbone,Childish Gambino,0.743,0.344,0.577,160.15,-11.174
0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,WILLOW,0.764,0.705,0.672,101.003,-5.279
3l3iCfpZsxbxWJhYoiQNkD,The Feels,Labrinth,0.389,0.529,0.424,110.183,-5.763
31Wlc9ZnraX3JxrvMg9e8H,3 Boys,Omar Apollo,0.548,0.456,0.53,173.839,-5.979
3FImu2LpSuH6gDHBuFgIbS,DO 4 LOVE,Snoh Aalegra,0.367,0.142,0.1,69.827,-12.717
1boXOL0ua7N2iCOUVI1p9F,Japanese Denim,Daniel Caesar,0.707,0.238,0.345,124.156,-8.818
3nXrCAE44KlevAkQB2XWcN,Gonna Love Me,Teyana Taylor,0.514,0.503,0.311,88.039,-7.094
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,SZA,0.692,0.684,0.406,112.912,-7.364
0bxmVPKnEopTyuMMkaTvUb,Issues/Hold On,Teyana Taylor,0.518,0.523,0.692,93.185,-4.82
3uouaAVXpQR3X8RYkJyitQ,CYANIDE,Daniel Caesar,0.589,0.652,0.486,158.49,-7.498
0tNuJpBgtE65diL6Q8Q7fI,On & On,Erykah Badu,0.761,0.403,0.346,80.476,-10.424
